Multiplier: 5
Decision_Tree: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
18.5,gini,7,128,200,0.935,0.0004,0.9996,0.065,0.0005,0.8911,291.159
19.1,entropy,5,32,100,0.8651,0.0004,0.9996,0.1349,0.0006,0.8706,245.753
19.2,entropy,5,32,100,0.8605,0.0004,0.9996,0.1395,0.0006,0.8774,268.456
19.3,entropy,5,32,100,0.8626,0.0004,0.9996,0.1374,0.0006,0.8842,182.951
19.4,entropy,5,32,100,0.8672,0.0004,0.9996,0.1328,0.0006,0.8775,126.67
19.5,entropy,5,32,100,0.8702,0.0004,0.9996,0.1298,0.0006,0.8877,216.445
20.1,entropy,5,32,200,0.8692,0.0004,0.9996,0.1308,0.0006,0.8843,275.323
20.2,entropy,5,32,200,0.8615,0.0004,0.9996,0.1385,0.0006,0.8808,226.667
20.3,entropy,5,32,200,0.8682,0.0004,0.9996,0.1318,0.0006,0.8809,167.557
20.4,entropy,5,32,200,0.8692,0.0004,0.9996,0.1308,0.0006,0.8843,203.118
20.5,entropy,5,32,200,0.8672,0.0004,0.9996,0.1328,0.0006,0.8775,199.142
21.1,entropy,5,64,100,0.8615,0.0004,0.9996,0.1385,0.0006,0.8808,210.582
21.2,entropy,5,64,100,0.8626,0.0004,0.9996,0.1374,0.0006,0.8842,273.409
21.3,entropy,5,64,100,0.8561,0.0004,0.9996,0.1439,0.0006,0.8842,201.646
21.4,entropy,5,64,100,0.8636,0.0004,0.9996,0.1364,0.0006,0.8876,128.378
21.5,entropy,5,64,100,0.8615,0.0004,0.9996,0.1385,0.0006,0.8808,186.118
22.1,entropy,5,64,200,0.8682,0.0004,0.9996,0.1318,0.0006,0.8809,275.691
22.2,entropy,5,64,200,0.8636,0.0004,0.9996,0.1364,0.0006,0.8876,277.548
22.3,entropy,5,64,200,0.875,0.0004,0.9996,0.125,0.0006,0.8809,228.715
22.4,entropy,5,64,200,0.8682,0.0004,0.9996,0.1318,0.0006,0.8809,191.379
22.5,entropy,5,64,200,0.8682,0.0004,0.9996,0.1318,0.0006,0.8809,194.322
23.1,entropy,5,128,100,0.8837,0.0004,0.9996,0.1163,0.0006,0.8877,155.437
23.2,entropy,5,128,100,0.8828,0.0004,0.9996,0.1172,0.0006,0.8843,236.343
23.3,entropy,5,128,100,0.8702,0.0004,0.9996,0.1298,0.0006,0.8877,274.823
23.4,entropy,5,128,100,0.876,0.0004,0.9996,0.124,0.0006,0.8843,212.176
23.5,entropy,5,128,100,0.8692,0.0004,0.9996,0.1308,0.0006,0.8843,145.663
24.1,entropy,5,128,200,0.875,0.0004,0.9996,0.125,0.0006,0.8809,222.956
